,precision,recall,f1-score,support
ace of clubs,0.5,1.0,0.6666666666666666,5.0
ace of diamonds,1.0,1.0,1.0,5.0
ace of hearts,0.7142857142857143,1.0,0.8333333333333334,5.0
ace of spades,1.0,1.0,1.0,5.0
eight of clubs,1.0,1.0,1.0,5.0
eight of diamonds,0.625,1.0,0.7692307692307693,5.0
eight of hearts,1.0,0.8,0.8888888888888888,5.0
eight of spades,0.8333333333333334,1.0,0.9090909090909091,5.0
five of clubs,1.0,0.6,0.75,5.0
five of diamonds,0.75,0.6,0.6666666666666666,5.0
five of hearts,0.8,0.8,0.8,5.0
five of spades,1.0,1.0,1.0,5.0
four of clubs,0.5,0.6,0.5454545454545454,5.0
four of diamonds,0.8,0.8,0.8,5.0
four of hearts,1.0,0.8,0.8888888888888888,5.0
four of spades,1.0,0.6,0.75,5.0
jack of clubs,0.7142857142857143,1.0,0.8333333333333334,5.0
jack of diamonds,0.75,0.6,0.6666666666666666,5.0
jack of hearts,1.0,0.8,0.8888888888888888,5.0
jack of spades,1.0,0.4,0.5714285714285714,5.0
joker,1.0,0.2,0.3333333333333333,5.0
king of clubs,1.0,1.0,1.0,5.0
king of diamonds,0.8,0.8,0.8,5.0
king of hearts,1.0,1.0,1.0,5.0
king of spades,0.6666666666666666,0.8,0.7272727272727273,5.0
nine of clubs,1.0,0.6,0.75,5.0
nine of diamonds,1.0,0.4,0.5714285714285714,5.0
nine of hearts,0.8333333333333334,1.0,0.9090909090909091,5.0
nine of spades,0.75,0.6,0.6666666666666666,5.0
queen of clubs,0.75,0.6,0.6666666666666666,5.0
queen of diamonds,0.4444444444444444,0.8,0.5714285714285714,5.0
queen of hearts,0.8,0.8,0.8,5.0
queen of spades,0.6666666666666666,0.8,0.7272727272727273,5.0
seven of clubs,1.0,1.0,1.0,5.0
seven of diamonds,1.0,1.0,1.0,5.0
seven of hearts,1.0,1.0,1.0,5.0
seven of spades,1.0,1.0,1.0,5.0
six of clubs,0.6666666666666666,0.4,0.5,5.0
six of diamonds,0.8333333333333334,1.0,0.9090909090909091,5.0
six of hearts,0.8,0.8,0.8,5.0
six of spades,1.0,1.0,1.0,5.0
ten of clubs,0.5555555555555556,1.0,0.7142857142857143,5.0
ten of diamonds,0.8,0.8,0.8,5.0
ten of hearts,1.0,0.8,0.8888888888888888,5.0
ten of spades,0.4,0.8,0.5333333333333333,5.0
three of clubs,1.0,0.6,0.75,5.0
three of diamonds,0.8333333333333334,1.0,0.9090909090909091,5.0
three of hearts,1.0,1.0,1.0,5.0
three of spades,1.0,0.6,0.75,5.0
two of clubs,0.75,0.6,0.6666666666666666,5.0
two of diamonds,0.7142857142857143,1.0,0.8333333333333334,5.0
two of hearts,1.0,0.8,0.8888888888888888,5.0
two of spades,0.6666666666666666,0.4,0.5,5.0
accuracy,0.8,0.8,0.8,0.8
macro avg,0.843733153638814,0.7999999999999999,0.796137300854282,265.0
weighted avg,0.8437331536388141,0.8,0.796137300854282,265.0
